participant,roster_fingerprint,screen_not_developer,screen_no_terminal_12m,screen_everyday_use,assistive,completed_unaided,seconds_to_result,moderator_intervened,task2_found_where_it_ran,task3_switch_and_back,task4_stop_a_run,task5_remove_a_file,q1_where_did_it_run,q2_unprotected_belief,notes
U01,,,,,,,,,,,,,,,
U02,,,,,,,,,,,,,,,
U03,,,,,,,,,,,,,,,
U04,,,,,,,,,,,,,,,
U05,,,,,,,,,,,,,,,
U06,,,,,,,,,,,,,,,
U07,,,,,,,,,,,,,,,
U08,,,,,,,,,,,,,,,
U09,,,,,,,,,,,,,,,
U10,,,,,,,,,,,,,,,
